antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Organic Fuji Apple'}),frozenset({'Banana'}),0.03122291606480144,0.16367030378452854,0.011333585190782017,0.36298932384341637,2.217808090105892,1.0,0.006223321033417129,1.3128974560700977,0.5668015566092474,0.06174334140435835,0.23832589104612564,0.2161178798443151
frozenset({'Honeycrisp Apple'}),frozenset({'Banana'}),0.0283561856930154,0.16367030378452854,0.010155781239583102,0.35815047021943575,2.1882434500209627,1.0,0.00551471571303677,1.3029996243845443,0.5588595820385258,0.05584066471163246,0.2325400703992238,0.2101003539148774
frozenset({'Cucumber Kirby'}),frozenset({'Banana'}),0.03371186026356141,0.16367030378452854,0.011155803462299161,0.3309162821357943,2.021846813282907,1.0,0.005638173051820489,1.2499627085309066,0.5230351763453522,0.05990453460620525,0.19997613274774428,0.1995382496897573
frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.0602680059556879,0.16367030378452854,0.01862263605857908,0.3089970501474926,1.8879237283892765,1.0,0.008758553215323865,1.2103127727515253,0.5004805496343234,0.0907024569758632,0.17376729179962322,0.21138922432697102
frozenset({'Organic Raspberries'}),frozenset({'Bag of Organic Bananas'}),0.048378852863396965,0.13155847907731283,0.014778106180137337,0.3054662379421222,2.3219046015468847,1.0,0.008413457877923731,1.2503949676247952,0.5982623294961518,0.08947793326157158,0.20025269943339277,0.20889865951160164
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.07371274917220383,0.13155847907731283,0.021156025689459765,0.28700633102200784,2.1815874813613734,1.0,0.01145848851975718,1.2180213635943145,0.5847194786940254,0.11490645745322872,0.17899633792214054,0.2239085709164093
frozenset({'Strawberries'}),frozenset({'Banana'}),0.04944554323429409,0.16367030378452854,0.01411142469832663,0.28539325842696633,1.7437082465655205,1.0,0.006018657616378676,1.1703355811820277,0.44869556125234666,0.07091010608598548,0.14554422160692612,0.18580592996025846
frozenset({'Large Lemon'}),frozenset({'Banana'}),0.05233449632214049,0.16367030378452854,0.014022533834085202,0.26794055201698513,1.637074935534598,1.0,0.005456930922630176,1.1424341267908558,0.4106453294596431,0.06942457916162394,0.12467600840230414,0.17680802210489446
frozenset({'Organic Raspberries'}),frozenset({'Organic Strawberries'}),0.048378852863396965,0.0894019867108158,0.011200248894419876,0.2315112540192926,2.589553795578958,1.0,0.006875083333641948,1.1849204273344616,0.6450393489327916,0.08848314606741571,0.15606147304798287,0.1783954480387291
frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.0894019867108158,0.13155847907731283,0.020689348652192272,0.23141933880188914,1.7590606126260488,1.0,0.008927759254027213,1.1299289258318146,0.4738806263581082,0.10330670217487795,0.11498858278733358,0.19434142615770134
frozenset({'Organic Whole Milk'}),frozenset({'Banana'}),0.046289917553723414,0.16367030378452854,0.01060023556079024,0.228996639462314,1.399133710680878,1.0,0.003023950692611549,1.0847289895497056,0.29911818377394844,0.053171329840597484,0.07811074504875026,0.14688121178818347
frozenset({'Organic Strawberries'}),frozenset({'Banana'}),0.0894019867108158,0.16367030378452854,0.02020044889886442,0.22595078299776286,1.380524003274451,1.0,0.005567998574964815,1.0804606190991783,0.30269928593796513,0.08674491840824505,0.07446881235362521,0.17468618579623377
